iter	Logloss
0	0.6855695004
1	0.6786667829
2	0.673019656
3	0.6674087536
4	0.6620108664
5	0.6569938872
6	0.6526697245
7	0.6486364211
8	0.6448348235
9	0.6415918368
10	0.6382202832
11	0.6351463856
12	0.6325622785
13	0.6300513252
14	0.6274767118
15	0.6252364249
16	0.6232291018
17	0.6213542713
18	0.6195257611
19	0.6179941982
20	0.6165448004
21	0.615198401
22	0.6139136213
23	0.6126215182
24	0.611586354
25	0.610511041
26	0.6094835245
27	0.6085537912
28	0.6075590839
29	0.6066761652
30	0.6058021273
31	0.6051108986
32	0.6043938472
33	0.6036622004
34	0.6030667552
35	0.6024995244
36	0.6019044393
37	0.6014871406
38	0.6008848039
39	0.6004085881
40	0.5998919813
41	0.5994093435
42	0.599024316
43	0.5985194004
44	0.5979987332
45	0.5976199357
46	0.5972399501
47	0.5969853971
48	0.5966020172
49	0.5963103482
50	0.5959023182
51	0.5955601153
52	0.5952628882
53	0.5949540652
54	0.5946612832
55	0.5943112409
56	0.5939792756
57	0.5936863609
58	0.5933920266
59	0.5930781895
60	0.5928356861
61	0.5926127843
62	0.5923613592
63	0.5921536878
64	0.5919346158
65	0.5916781793
66	0.5914875866
67	0.5912055764
68	0.591008058
69	0.5908179603
70	0.5906391814
71	0.5904608382
72	0.5903131294
73	0.5901186183
74	0.5899733906
75	0.5897802967
76	0.5896078906
77	0.5894473556
78	0.5892692433
79	0.5891413014
80	0.5890304767
81	0.5889079975
82	0.5887446035
83	0.588640501
84	0.5885039365
85	0.5883330173
86	0.5881829899
87	0.5880523225
88	0.5879244508
89	0.5878135509
90	0.5876850596
91	0.5875697723
92	0.5874777175
93	0.5873370632
94	0.5872132125
95	0.5871157972
96	0.5870292707
97	0.5869641174
98	0.5867762136
99	0.5866537439
100	0.5865451207
101	0.5864518711
102	0.5863326779
103	0.5862357227
104	0.5861499012
105	0.5860683611
106	0.585981555
107	0.5858804368
108	0.5857998867
109	0.5857139996
110	0.5856334242
111	0.5855224162
112	0.5854363249
113	0.5853618887
114	0.5852595801
115	0.5851776309
116	0.58509572
117	0.585013752
118	0.5849384746
119	0.5848626234
120	0.5847889515
121	0.58472776
122	0.5846452874
123	0.5845795632
124	0.5844902645
125	0.5844319496
126	0.5843691944
127	0.5843278656
128	0.584239561
129	0.5841643793
130	0.5840991788
131	0.5840451349
132	0.5839620765
133	0.5838628534
134	0.5837899446
135	0.5836610521
136	0.5836092986
137	0.5835191231
138	0.5834501895
139	0.5833871401
140	0.5832951375
141	0.5832204758
142	0.5831705154
143	0.5830993752
144	0.583034212
145	0.5829247749
146	0.5828633575
147	0.5828010258
148	0.5827293941
149	0.582656656
150	0.5826027605
151	0.5825394935
152	0.5824778008
153	0.5824136117
154	0.58234992
155	0.5823158075
156	0.582265785
157	0.5822174771
158	0.58214602
159	0.5820828655
160	0.5819933598
161	0.5819476344
162	0.5818881391
163	0.5818288011
164	0.5817808805
165	0.5817385859
166	0.5816827687
167	0.5816183239
168	0.5815529495
169	0.5814810194
170	0.5814324391
171	0.5813840851
172	0.5813392364
173	0.5812594775
174	0.5811893815
175	0.5811426456
176	0.5810936704
177	0.5810355318
178	0.5809856813
179	0.5809341408
180	0.5808840599
181	0.5808287552
182	0.5807818903
183	0.5807092973
184	0.5806338323
185	0.5806063327
186	0.5805457709
187	0.5804788554
188	0.5804444276
189	0.5803946732
190	0.5803480739
191	0.5803054437
192	0.5802539228
193	0.5802061647
194	0.5801563783
195	0.5801137457
196	0.5800721028
197	0.5800225746
198	0.5799693972
199	0.5799074995
200	0.5798819871
201	0.579829424
202	0.5797637848
203	0.5797230992
204	0.5796858511
205	0.5796335165
206	0.5795772113
207	0.579543719
208	0.57950661
209	0.5794315472
210	0.5793762444
211	0.5793323942
212	0.5792944143
213	0.5792573987
214	0.5792190338
215	0.5791586474
216	0.5791006716
217	0.5790451116
218	0.578998396
219	0.5789326517
220	0.5788775314
221	0.5788298496
222	0.5787828812
223	0.5787390916
224	0.5786886415
225	0.5786514944
226	0.578602325
227	0.578564681
228	0.5785153739
229	0.5784881811
230	0.5784360523
231	0.5783972551
232	0.5783415231
233	0.5783138407
234	0.5782630434
235	0.5781973125
236	0.5781701068
237	0.5781113978
238	0.5780740452
239	0.5780181301
240	0.5779591202
241	0.5778997562
242	0.5778440357
243	0.5778048495
244	0.5777531217
245	0.5777158619
246	0.5776568481
247	0.5776187376
248	0.5775643456
249	0.5775085588
250	0.5774610868
251	0.5773989454
252	0.5773427919
253	0.5773021896
254	0.5772559627
255	0.5771818696
256	0.5771474772
257	0.5770885434
258	0.5770021943
259	0.576955377
260	0.5768697482
261	0.5768186579
262	0.5767644901
263	0.5767121846
264	0.5766582657
265	0.5766018806
266	0.5765400721
267	0.5764770286
268	0.5764147822
269	0.576373187
270	0.5763302636
271	0.5762760909
272	0.576224362
273	0.5761692801
274	0.5761079081
275	0.5760388611
276	0.5759909458
277	0.57593267
278	0.5758793993
279	0.5758292011
280	0.5757590837
281	0.5756926838
282	0.575637039
283	0.57556505
284	0.575476588
285	0.5754012943
286	0.575335686
287	0.5752692244
288	0.5752041298
289	0.575132098
290	0.5750701128
291	0.5749986655
292	0.5749280288
293	0.5748826625
294	0.5748275267
295	0.574760357
296	0.5746984526
297	0.5746386836
298	0.5745843376
299	0.5745239295
