iter	Passed	Remaining
0	26	7995
1	54	8082
2	78	7770
3	104	7708
4	130	7687
5	151	7411
6	177	7424
7	204	7473
8	230	7453
9	250	7265
10	270	7116
11	294	7077
12	317	7006
13	339	6928
14	359	6835
15	379	6732
16	397	6624
17	418	6561
18	440	6520
19	463	6487
20	484	6431
21	503	6359
22	523	6300
23	544	6265
24	565	6217
25	589	6207
26	611	6179
27	631	6136
28	651	6087
29	671	6043
30	691	6004
31	713	5975
32	733	5935
33	752	5890
34	773	5855
35	793	5819
36	813	5783
37	835	5757
38	857	5739
39	878	5712
40	899	5680
41	918	5644
42	940	5620
43	959	5583
44	979	5552
45	1003	5541
46	1026	5523
47	1046	5493
48	1066	5462
49	1087	5436
50	1107	5408
51	1127	5378
52	1147	5349
53	1167	5316
54	1187	5290
55	1209	5269
56	1233	5260
57	1253	5231
58	1274	5204
59	1294	5178
60	1318	5167
61	1339	5142
62	1361	5120
63	1381	5095
64	1406	5083
65	1429	5066
66	1447	5034
67	1469	5013
68	1488	4983
69	1508	4957
70	1528	4929
71	1549	4905
72	1571	4886
73	1595	4871
74	1615	4846
75	1635	4820
76	1658	4803
77	1679	4779
78	1700	4756
79	1721	4733
80	1741	4709
81	1760	4681
82	1783	4662
83	1804	4640
84	1825	4617
85	1847	4596
86	1867	4573
87	1889	4551
88	1910	4529
89	1932	4509
90	1955	4491
91	1977	4469
92	1999	4450
93	2025	4438
94	2047	4417
95	2069	4398
96	2091	4376
97	2110	4350
98	2130	4325
99	2153	4306
100	2174	4284
101	2200	4271
102	2225	4255
103	2247	4235
104	2269	4213
105	2291	4194
106	2312	4171
107	2336	4153
108	2359	4134
109	2382	4115
110	2406	4098
111	2429	4077
112	2451	4057
113	2474	4038
114	2496	4016
115	2519	3995
116	2540	3974
117	2563	3953
118	2589	3938
119	2614	3922
120	2636	3900
121	2658	3878
122	2681	3858
123	2701	3833
124	2721	3810
125	2742	3786
126	2763	3764
127	2784	3741
128	2808	3722
129	2832	3703
130	2853	3681
131	2873	3657
132	2894	3634
133	2914	3610
134	2934	3587
135	2957	3566
136	2983	3549
137	3010	3534
138	3035	3515
139	3059	3496
140	3084	3477
141	3108	3458
142	3133	3439
143	3156	3419
144	3178	3397
145	3199	3374
146	3223	3354
147	3247	3334
148	3268	3312
149	3289	3289
150	3310	3267
151	3332	3244
152	3354	3222
153	3378	3202
154	3403	3184
155	3426	3163
156	3448	3141
157	3473	3121
158	3495	3099
159	3516	3076
160	3535	3052
161	3557	3030
162	3577	3007
163	3600	2985
164	3625	2966
165	3647	2944
166	3669	2922
167	3691	2900
168	3714	2879
169	3738	2858
170	3760	2836
171	3784	2816
172	3806	2794
173	3826	2770
174	3848	2749
175	3869	2726
176	3891	2704
177	3913	2682
178	3934	2659
179	3966	2644
180	3988	2622
181	4013	2602
182	4036	2580
183	4058	2558
184	4080	2536
185	4102	2514
186	4124	2492
187	4144	2469
188	4166	2446
189	4189	2425
190	4216	2406
191	4240	2385
192	4263	2363
193	4285	2341
194	4308	2319
195	4329	2297
196	4350	2274
197	4373	2252
198	4396	2231
199	4423	2211
200	4445	2189
201	4468	2167
202	4492	2146
203	4514	2124
204	4538	2103
205	4562	2081
206	4585	2060
207	4608	2038
208	4632	2017
209	4655	1995
210	4680	1974
211	4703	1952
212	4726	1930
213	4748	1908
214	4770	1886
215	4792	1863
216	4816	1842
217	4839	1820
218	4862	1798
219	4885	1776
220	4908	1754
221	4930	1732
222	4954	1710
223	4981	1690
224	5004	1668
225	5026	1645
226	5047	1623
227	5069	1600
228	5092	1578
229	5112	1556
230	5134	1533
231	5156	1511
232	5177	1488
233	5201	1467
234	5225	1445
235	5248	1423
236	5270	1400
237	5292	1378
238	5314	1356
239	5341	1335
240	5368	1314
241	5389	1291
242	5413	1269
243	5435	1247
244	5460	1225
245	5484	1203
246	5509	1182
247	5533	1160
248	5558	1138
249	5579	1115
250	5602	1093
251	5626	1071
252	5648	1049
253	5669	1026
254	5691	1004
255	5714	982
256	5737	959
257	5760	937
258	5786	915
259	5808	893
260	5831	871
261	5853	848
262	5877	826
263	5898	804
264	5922	782
265	5946	760
266	5967	737
267	5988	715
268	6009	692
269	6033	670
270	6053	647
271	6071	625
272	6093	602
273	6113	580
274	6134	557
275	6155	535
276	6177	512
277	6199	490
278	6221	468
279	6242	445
280	6263	423
281	6284	401
282	6305	378
283	6324	356
284	6345	333
285	6365	311
286	6387	289
287	6407	266
288	6429	244
289	6449	222
290	6469	200
291	6492	177
292	6513	155
293	6532	133
294	6551	111
295	6574	88
296	6596	66
297	6616	44
298	6636	22
299	6656	0
